,part,sex,group,age_months,condition,ME13
123,CH13,M,1,98,IMUR_ME13,69.79
124,CH15,M,1,98,IMUR_ME13,71.26
125,CH16,M,1,124,IMUR_ME13,69.59
126,CH17,M,1,140,IMUR_ME13,70.5
127,CH18,F,1,104,IMUR_ME13,71.33
128,CH19,F,1,99,IMUR_ME13,69.31
129,CH20,F,1,155,IMUR_ME13,67.72
130,CH21,F,1,153,IMUR_ME13,69.42
131,CH22,M,1,126,IMUR_ME13,70.4
132,CH23,M,1,132,IMUR_ME13,69.39
133,CH32,F,1,127,IMUR_ME13,70.57
134,CH33,F,1,135,IMUR_ME13,71.39
135,CH03,F,2,176,IMUR_ME13,66.43
136,CH04,F,2,185,IMUR_ME13,68.13
137,CH11,M,2,170,IMUR_ME13,66.4
138,CH12,M,2,167,IMUR_ME13,68.15
139,CH24,F,2,192,IMUR_ME13,65.29
140,CH25,F,2,193,IMUR_ME13,65.69
141,CH26,F,2,215,IMUR_ME13,68.59
142,CH27,F,2,215,IMUR_ME13,66.78
143,CH28,F,2,195,IMUR_ME13,69.06
144,CH29,F,2,207,IMUR_ME13,69.11
145,CH30,M,2,206,IMUR_ME13,65.72
146,CH31,M,2,212,IMUR_ME13,57.4
147,CH34,F,2,184,IMUR_ME13,67.38
148,CH35,F,2,171,IMUR_ME13,67.29
149,YA01,F,3,277,IMUR_ME13,68.02
150,YA02,F,3,318,IMUR_ME13,67.02
151,YA03,F,3,265,IMUR_ME13,65.85
152,YA04,F,3,264,IMUR_ME13,67.72
153,YA05,F,3,257,IMUR_ME13,69.95
154,YA06,F,3,295,IMUR_ME13,64.83
155,YA07,F,3,258,IMUR_ME13,69.07
156,YA08,F,3,267,IMUR_ME13,70.27
157,YA09,F,3,271,IMUR_ME13,68.87
158,YA10,F,3,241,IMUR_ME13,68.63
159,YA11,M,3,269,IMUR_ME13,65.94
160,YA12,M,3,266,IMUR_ME13,68.21
161,YA13,M,3,242,IMUR_ME13,67.07
162,YA14,M,3,266,IMUR_ME13,66.19
163,YA15,M,3,233,IMUR_ME13,65.54
164,YA16,M,3,244,IMUR_ME13,67.53
165,YA17,M,3,230,IMUR_ME13,62.55
166,YA18,M,3,244,IMUR_ME13,65.69
167,YA19,M,3,277,IMUR_ME13,68.09
168,YA20,M,3,241,IMUR_ME13,63.13
169,MA01,F,4,436,IMUR_ME13,68.07
170,MA02,F,4,476,IMUR_ME13,68.79
171,MA03,F,4,441,IMUR_ME13,68.34
172,MA04,F,4,431,IMUR_ME13,67.31
173,MA05,M,4,467,IMUR_ME13,68.64
174,MA06,M,4,506,IMUR_ME13,59.12
175,MA11,F,4,596,IMUR_ME13,67.84
176,MA12,F,4,599,IMUR_ME13,70.41
177,MA13,F,4,557,IMUR_ME13,63.02
178,MA14,F,4,554,IMUR_ME13,67
179,MA15,M,4,597,IMUR_ME13,66.01
180,MA16,M,4,515,IMUR_ME13,67.58
181,MA17,M,4,573,IMUR_ME13,62.29
182,MA18,M,4,558,IMUR_ME13,68.38
183,MA19,M,4,432,IMUR_ME13,64.15
184,MA20,M,4,438,IMUR_ME13,63.96
185,MA21,M,4,588,IMUR_ME13,67.3
186,MA22,M,4,547,IMUR_ME13,64.98
187,MA23,F,4,488,IMUR_ME13,69.78
188,MA24,F,4,528,IMUR_ME13,69.73
189,OA01,F,5,774,IMUR_ME13,67.99
190,OA02,F,5,745,IMUR_ME13,70.87
191,OA05,F,5,705,IMUR_ME13,68.27
192,OA06,F,5,717,IMUR_ME13,64.84
193,OA07,F,5,708,IMUR_ME13,67.61
194,OA08,F,5,708,IMUR_ME13,67.7
195,OA26,F,5,779,IMUR_ME13,66.42
196,OA27,F,5,780,IMUR_ME13,67.96
197,OA32,F,5,771,IMUR_ME13,69.27
198,OA33,F,5,732,IMUR_ME13,69.44
199,OA39,M,5,715,IMUR_ME13,66.12
200,OA40,M,5,733,IMUR_ME13,66.69
201,OA41,M,5,641,IMUR_ME13,66.06
202,OA42,M,5,685,IMUR_ME13,67.03
203,OA43,M,5,613,IMUR_ME13,63.3
204,OA44,M,5,656,IMUR_ME13,59.37
205,OA45,M,5,770,IMUR_ME13,63.93
206,OA46,M,5,705,IMUR_ME13,65.61
207,OA47,M,5,649,IMUR_ME13,63.41
208,OA48,M,5,643,IMUR_ME13,64.29
209,OA09,F,6,920,IMUR_ME13,68.73
210,OA11,F,6,884,IMUR_ME13,65.94
211,OA13,F,6,858,IMUR_ME13,67.6
212,OA14,F,6,820,IMUR_ME13,68.83
213,OA15,F,6,893,IMUR_ME13,68.11
214,OA16,F,6,801,IMUR_ME13,65.2
215,OA17,M,6,819,IMUR_ME13,65.47
216,OA18,M,6,834,IMUR_ME13,64.56
217,OA20,M,6,903,IMUR_ME13,62.51
218,OA21,M,6,797,IMUR_ME13,66.05
219,OA23,M,6,913,IMUR_ME13,68.32
220,OA24,F,6,892,IMUR_ME13,68.64
221,OA25,F,6,895,IMUR_ME13,69.97
222,OA29,M,6,781,IMUR_ME13,60.08
223,OA30,F,6,799,IMUR_ME13,69.18
224,OA31,F,6,893,IMUR_ME13,69.25
225,OA34,M,6,787,IMUR_ME13,64.39
226,OA35,M,6,830,IMUR_ME13,65.57
227,OA36,M,6,800,IMUR_ME13,66.17
228,OA37,M,6,949,IMUR_ME13,66.62
343,CH01,F,1,115,SPSN_ME13,70.97
344,CH02,F,1,114,SPSN_ME13,70.76
345,CH05,M,1,135,SPSN_ME13,69.26
346,CH06,M,1,136,SPSN_ME13,67.78
347,CH07,F,1,97,SPSN_ME13,71.7
348,CH08,F,1,100,SPSN_ME13,73
349,CH09,M,1,145,SPSN_ME13,70.07
350,CH10,M,1,144,SPSN_ME13,70.36
351,CH13,M,1,98,SPSN_ME13,69.52
352,CH15,M,1,98,SPSN_ME13,70.41
353,CH16,M,1,124,SPSN_ME13,70.19
354,CH17,M,1,140,SPSN_ME13,70.46
355,CH18,F,1,104,SPSN_ME13,72.73
356,CH19,F,1,99,SPSN_ME13,69.55
357,CH20,F,1,155,SPSN_ME13,68.87
358,CH21,F,1,153,SPSN_ME13,69.78
359,CH22,M,1,126,SPSN_ME13,70.41
360,CH23,M,1,132,SPSN_ME13,70.49
361,CH32,F,1,127,SPSN_ME13,71.3
362,CH33,F,1,135,SPSN_ME13,71.94
363,CH03,F,2,176,SPSN_ME13,68.31
364,CH04,F,2,185,SPSN_ME13,68.88
365,CH11,M,2,170,SPSN_ME13,65.09
366,CH12,M,2,167,SPSN_ME13,68.57
367,CH24,F,2,192,SPSN_ME13,67.31
368,CH25,F,2,193,SPSN_ME13,65.74
369,CH26,F,2,215,SPSN_ME13,68.71
370,CH27,F,2,215,SPSN_ME13,67.76
371,CH28,F,2,195,SPSN_ME13,69.02
372,CH29,F,2,207,SPSN_ME13,69.37
373,CH30,M,2,206,SPSN_ME13,66.8
374,CH31,M,2,212,SPSN_ME13,56.54
375,CH34,F,2,184,SPSN_ME13,67.53
376,CH35,F,2,171,SPSN_ME13,67.53
377,YA01,F,3,277,SPSN_ME13,67.59
378,YA02,F,3,318,SPSN_ME13,67.38
379,YA03,F,3,265,SPSN_ME13,67.54
380,YA04,F,3,264,SPSN_ME13,68.52
381,YA05,F,3,257,SPSN_ME13,70.41
382,YA06,F,3,295,SPSN_ME13,65.72
383,YA07,F,3,258,SPSN_ME13,69.22
384,YA08,F,3,267,SPSN_ME13,70.12
385,YA09,F,3,271,SPSN_ME13,69.4
386,YA10,F,3,241,SPSN_ME13,68.57
387,YA11,M,3,269,SPSN_ME13,66.26
388,YA12,M,3,266,SPSN_ME13,68.08
389,YA13,M,3,242,SPSN_ME13,67.5
390,YA14,M,3,266,SPSN_ME13,65.39
391,YA15,M,3,233,SPSN_ME13,66.41
392,YA16,M,3,244,SPSN_ME13,68.1
393,YA17,M,3,230,SPSN_ME13,64.26
394,YA18,M,3,244,SPSN_ME13,66.81
395,YA19,M,3,277,SPSN_ME13,68.57
396,YA20,M,3,241,SPSN_ME13,64.84
397,MA01,F,4,436,SPSN_ME13,68.46
398,MA02,F,4,476,SPSN_ME13,70.64
399,MA03,F,4,441,SPSN_ME13,68.1
400,MA04,F,4,431,SPSN_ME13,68.55
401,MA05,M,4,467,SPSN_ME13,69.42
402,MA06,M,4,506,SPSN_ME13,60.69
403,MA11,F,4,596,SPSN_ME13,67.28
404,MA12,F,4,599,SPSN_ME13,70.63
405,MA13,F,4,557,SPSN_ME13,65.43
406,MA14,F,4,554,SPSN_ME13,67.4
407,MA15,M,4,597,SPSN_ME13,65.98
408,MA16,M,4,515,SPSN_ME13,68.22
409,MA17,M,4,573,SPSN_ME13,63.39
410,MA18,M,4,558,SPSN_ME13,69.06
411,MA19,M,4,432,SPSN_ME13,66.03
412,MA20,M,4,438,SPSN_ME13,65.71
413,MA21,M,4,588,SPSN_ME13,68.06
414,MA22,M,4,547,SPSN_ME13,65.47
415,MA23,F,4,488,SPSN_ME13,70.1
416,MA24,F,4,528,SPSN_ME13,70.74
417,OA01,F,5,774,SPSN_ME13,67.43
418,OA02,F,5,745,SPSN_ME13,71.07
419,OA05,F,5,705,SPSN_ME13,68.04
420,OA06,F,5,717,SPSN_ME13,65.97
421,OA07,F,5,708,SPSN_ME13,68.05
422,OA08,F,5,708,SPSN_ME13,68.22
423,OA26,F,5,779,SPSN_ME13,68.18
424,OA27,F,5,780,SPSN_ME13,67.43
425,OA32,F,5,771,SPSN_ME13,69.77
426,OA33,F,5,732,SPSN_ME13,69.71
427,OA39,M,5,715,SPSN_ME13,66.31
428,OA40,M,5,733,SPSN_ME13,67.11
429,OA41,M,5,641,SPSN_ME13,65.61
430,OA42,M,5,685,SPSN_ME13,67.3
431,OA43,M,5,613,SPSN_ME13,63.13
432,OA44,M,5,656,SPSN_ME13,60.57
433,OA45,M,5,770,SPSN_ME13,64.88
434,OA46,M,5,705,SPSN_ME13,66.2
435,OA47,M,5,649,SPSN_ME13,64.71
436,OA48,M,5,643,SPSN_ME13,64.86
437,OA09,F,6,920,SPSN_ME13,69.39
438,OA11,F,6,884,SPSN_ME13,66.42
439,OA13,F,6,858,SPSN_ME13,68.42
440,OA14,F,6,820,SPSN_ME13,69.54
441,OA15,F,6,893,SPSN_ME13,69.69
442,OA16,F,6,801,SPSN_ME13,66.6
443,OA17,M,6,819,SPSN_ME13,65.51
444,OA18,M,6,834,SPSN_ME13,65.08
445,OA20,M,6,903,SPSN_ME13,62.7
446,OA21,M,6,797,SPSN_ME13,66.52
447,OA23,M,6,913,SPSN_ME13,68.63
448,OA24,F,6,892,SPSN_ME13,68.89
449,OA25,F,6,895,SPSN_ME13,69.95
450,OA29,M,6,781,SPSN_ME13,59.37
451,OA30,F,6,799,SPSN_ME13,69.19
452,OA31,F,6,893,SPSN_ME13,69.39
453,OA34,M,6,787,SPSN_ME13,65.44
454,OA35,M,6,830,SPSN_ME13,65.74
455,OA36,M,6,800,SPSN_ME13,66.27
456,OA37,M,6,949,SPSN_ME13,67.13
457,CH01,F,1,115,NORM_ME13,66.76
458,CH02,F,1,114,NORM_ME13,66.91
459,CH05,M,1,135,NORM_ME13,65.86
460,CH06,M,1,136,NORM_ME13,59.41
461,CH07,F,1,97,NORM_ME13,69.84
462,CH08,F,1,100,NORM_ME13,70.91
463,CH09,M,1,145,NORM_ME13,65.56
464,CH10,M,1,144,NORM_ME13,66.66
465,CH13,M,1,98,NORM_ME13,66.1
466,CH15,M,1,98,NORM_ME13,70.31
467,CH16,M,1,124,NORM_ME13,66.96
468,CH17,M,1,140,NORM_ME13,67.99
469,CH18,F,1,104,NORM_ME13,69.02
470,CH19,F,1,99,NORM_ME13,64.64
471,CH20,F,1,155,NORM_ME13,64.99
472,CH21,F,1,153,NORM_ME13,67.6
473,CH22,M,1,126,NORM_ME13,66.6
474,CH23,M,1,132,NORM_ME13,66.91
475,CH32,F,1,127,NORM_ME13,68.59
476,CH33,F,1,135,NORM_ME13,70.93
477,CH03,F,2,176,NORM_ME13,63.28
478,CH04,F,2,185,NORM_ME13,65.78
479,CH11,M,2,170,NORM_ME13,64.1
